mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15194296836853027,0.027467378097802742,0.008144664764404296,0.0030366746364063886,5,sqrt,4,15,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.9313505424616535,0.8855218855218855,0.9457538346427234,0.9441595441595442,0.935232668566002,0.9284036950703616,0.02210630001789097,95
0.20111241340637206,0.005940110692068474,0.008732318878173828,0.002806274992817863,5,sqrt,4,15,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 300}",0.9324728769173213,0.8847736625514403,0.9450056116722784,0.9437796771130104,0.9352326685660018,0.9282528993640105,0.022265235769771227,115
0.3152632236480713,0.013914564456775991,0.010295724868774414,0.0025169217764909476,5,sqrt,4,15,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 500}",0.9326599326599326,0.8860830527497193,0.9451926674148896,0.9445394112060779,0.9340930674264007,0.928513626291404,0.02183433894528167,79
0.11881532669067382,0.014242657391447614,0.00552678108215332,0.0021329195898009494,5,sqrt,4,20,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 200}",0.93228582117471,0.8851477740366629,0.9457538346427234,0.9443494776828111,0.9331433998100664,0.9281360614693949,0.022197061049451218,135
0.18552055358886718,0.008163342020593232,0.0058515071868896484,0.0013371941715386163,5,sqrt,4,20,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 300}",0.93228582117471,0.8825289936401047,0.9455667789001122,0.9439696106362773,0.9333333333333333,0.9275369075369075,0.023138595629901722,217
0.2981217861175537,0.014024330964334121,0.010752010345458984,0.0028227696624273475,5,sqrt,4,20,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 500}",0.9326599326599326,0.8836513280957725,0.9455667789001122,0.9449192782526116,0.9340930674264007,0.9281780770669659,0.022892532769584126,131
0.11930084228515625,0.007264394886714248,0.0058441162109375,0.0025133032813766244,5,sqrt,4,25,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 25, 'n_estimators': 200}",0.9315375982042648,0.8866442199775532,0.9444444444444444,0.9466286799620132,0.9342830009496675,0.9287075887075886,0.02180474858635774,47
0.1703707218170166,0.01690549673398719,0.008480453491210937,0.0029996080109773943,5,sqrt,4,25,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 25, 'n_estimators': 300}",0.9317246539468761,0.8853348297792742,0.9442573887018331,0.944349477682811,0.9339031339031338,0.9279138968027855,0.02191167645784403,163
0.31615486145019533,0.021963803507804153,0.012655258178710938,0.004143205914332553,5,sqrt,4,25,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 25, 'n_estimators': 500}",0.9320987654320987,0.8838383838383839,0.9444444444444444,0.9449192782526116,0.9346628679962014,0.927992747992748,0.02266328968497625,151
0.1239011287689209,0.018287606663464795,0.006524372100830078,0.002367104536305097,5,sqrt,4,30,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 30, 'n_estimators': 200}",0.9317246539468761,0.8866442199775533,0.9431350542461653,0.944349477682811,0.9333333333333333,0.9278373478373478,0.02120783365475338,189
0.18867096900939942,0.035110906563144514,0.00589299201965332,0.0011615878842054564,5,sqrt,4,30,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 30, 'n_estimators': 300}",0.9319117096894874,0.8829031051253273,0.9435091657313879,0.9428300094966761,0.9340930674264007,0.9270494114938559,0.022548180332389867,271
0.3119150161743164,0.015008077343846743,0.010136175155639648,0.0041041690445811,5,sqrt,4,30,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 30, 'n_estimators': 500}",0.9330340441451552,0.8819678264122709,0.9440703329592218,0.9433998100664767,0.9340930674264007,0.9273130162019051,0.02312781050656739,235
0.13474960327148439,0.012379453606461671,0.0051520347595214845,0.0020582795012982526,5,sqrt,5,15,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.93228582117471,0.8855218855218856,0.9446315001870557,0.945679012345679,0.9354226020892686,0.9287081642637197,0.022201352604747548,45
0.16784462928771973,0.013993976984512218,0.005106830596923828,0.00010320463673863431,5,sqrt,5,15,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 300}",0.9317246539468761,0.8843995510662177,0.9442573887018332,0.9439696106362773,0.935042735042735,0.927878787878788,0.022287799355336344,177
0.27126564979553225,0.022243677100999074,0.009289312362670898,0.0020106363267050034,5,sqrt,5,15,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 500}",0.9324728769173213,0.8862701084923307,0.944818555929667,0.9451092117758784,0.9348528015194681,0.9287047109269331,0.02182410238943669,49
0.10914273262023926,0.009338139327322841,0.004986858367919922,0.0017770134125995375,5,sqrt,5,20,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",0.9317246539468761,0.8860830527497194,0.9459408903853348,0.9451092117758784,0.9329534662867995,0.9283622550289217,0.02195169639887451,107
0.18177523612976074,0.01771062446499115,0.0066181659698486325,0.0015667697241020485,5,sqrt,5,20,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",0.930976430976431,0.8836513280957725,0.9451926674148896,0.9451092117758784,0.9331433998100664,0.9276146076146075,0.022758245567748563,203
0.30637283325195314,0.016300625162427345,0.008728551864624023,0.0016551031183002715,5,sqrt,5,20,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 500}",0.9320987654320987,0.8838383838383838,0.9451926674148896,0.9454890788224122,0.9339031339031338,0.9281044058821836,0.022817959584090778,139
