mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015740394592285156,0.0018228005404859876,0.0018486499786376954,3.799928447812225e-05,0.7,0.01,3,1,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.7}",0.9084362139917694,0.8654133931911709,0.9334081556303778,0.9365622032288698,0.9319088319088319,0.9151457595902039,0.026801141880901276,1655
0.017223930358886717,0.004056945129551238,0.0026360511779785155,0.0008172554830288629,0.7,0.01,3,1,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",0.9121773288439955,0.872334455667789,0.9348110736999625,0.9322886989553655,0.9341880341880342,0.9171599182710294,0.023935531411050568,1626
0.016049957275390624,0.0032049508694140675,0.002258634567260742,0.0008562287179385682,0.7,0.01,3,1,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.9110549943883277,0.8791619902731014,0.9291058735503179,0.932383665716999,0.9349477682811015,0.9173308584419695,0.020841508903404037,1621
0.020410490036010743,0.003602292228152051,0.0022151947021484377,0.0005162589180936664,0.7,0.01,3,1,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.7}",0.9164796109240554,0.868312757201646,0.9371492704826038,0.9365622032288698,0.9331433998100664,0.9183294483294482,0.026119584626748012,1580
0.02245960235595703,0.0023989355204159664,0.0020514011383056642,0.0003579619246187484,0.7,0.01,3,1,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.9162925551814439,0.8705574261129816,0.9365881032547698,0.9361823361823363,0.9344729344729343,0.9188186710408932,0.02528966024000598,1565
0.017043209075927733,0.0015892770358345882,0.0017255306243896484,6.17964399963679e-05,0.7,0.01,3,1,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",0.9171343060231948,0.8758885147774036,0.9367751589973812,0.9336182336182335,0.9362773029439696,0.9199387032720365,0.02317683922136799,1496
0.028864002227783202,0.0050710277481001735,0.003484201431274414,0.0016650405615189978,0.7,0.01,3,1,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.7}",0.9208754208754208,0.872053872053872,0.9359334081556304,0.9333333333333333,0.935042735042735,0.9194477538921983,0.024314636821122,1525
0.034184932708740234,0.00611897116568295,0.0022335052490234375,0.000379992007072037,0.7,0.01,3,1,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",0.9228395061728395,0.8731762065095399,0.937897493453049,0.933903133903134,0.9348528015194683,0.9205338283116061,0.024221183645803154,1459
0.023028135299682617,0.00097685848766622,0.002488994598388672,0.0006433060025702945,0.7,0.01,3,1,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 1.0}",0.9223718668163112,0.8749532360643472,0.9395809951365506,0.9334283000949667,0.9354226020892686,0.921151400040289,0.02378991110612597,1413
0.04483351707458496,0.002171896973202115,0.004056978225708008,0.0011287548807849587,0.7,0.01,3,1,500,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",0.9270482603815937,0.8744855967078189,0.937897493453049,0.9392212725546059,0.9354226020892688,0.9228150450372672,0.024532634323957657,1260
0.04961905479431152,0.007961861329249732,0.0026922225952148438,0.0009432992440367148,0.7,0.01,3,1,500,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}",0.9281705948372615,0.8745791245791246,0.9392068836513281,0.9365622032288697,0.9346628679962014,0.922636334858557,0.02430339025660913,1277
0.042466163635253906,0.0037024291654290478,0.002157115936279297,0.00013319578640966554,0.7,0.01,3,1,500,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 1.0}",0.9319117096894876,0.8756079311634866,0.9405162738496071,0.935042735042735,0.9329534662867995,0.9232064232064232,0.02398388005932396,1223
0.012935781478881836,0.0036278294416366044,0.0017273426055908203,7.471142053565775e-05,0.7,0.01,3,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.7}",0.9132061354283577,0.8658810325476992,0.9317246539468761,0.9354226020892686,0.9334283000949668,0.9159325448214336,0.026260014031188845,1642
0.013612794876098632,0.003259452692772706,0.002740955352783203,0.001595195720702008,0.7,0.01,3,3,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9152637485970818,0.8713056490834268,0.9336887392442947,0.9329534662867995,0.9320987654320988,0.9170620737287404,0.02388291787275469,1628
0.01191716194152832,0.002760566672237242,0.001821279525756836,9.7703922079969e-05,0.7,0.01,3,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9113355780022446,0.8748597081930414,0.9316311260755705,0.933048433048433,0.9333333333333333,0.9168416357305246,0.02256618844759611,1629
0.017949008941650392,0.0018770829679579917,0.002008390426635742,0.00030825290687667804,0.7,0.01,3,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.7}",0.9180695847362513,0.8708380097268985,0.9370557426112981,0.9365622032288698,0.935232668566002,0.919551641773864,0.025364785781343473,1520
0.01741199493408203,0.0012750595063491786,0.00199737548828125,0.0001922178196867415,0.7,0.01,3,3,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.916853722409278,0.8712121212121212,0.9382716049382716,0.9375118708452042,0.9334283000949667,0.9194555238999683,0.025335786228735693,1524
0.01915278434753418,0.004604915159813834,0.002086973190307617,0.0008153047654898011,0.7,0.01,3,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9166666666666666,0.8751402918069584,0.9392068836513281,0.9339981006647673,0.9341880341880342,0.9198399953955511,0.02362002556665073,1503
0.029755783081054688,0.004085625729202883,0.0024069786071777345,0.00035817427537215515,0.7,0.01,3,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7}",0.9229330340441452,0.8727085671530115,0.9387392442947998,0.9352326685660018,0.9339031339031338,0.9207033295922183,0.02457274729271925,1448
