Metric,Train Mean,Validation Mean,Gap,Std Dev
Accuracy,0.8898,0.8609,0.029,0.0337
Precision,0.8795,0.8567,0.0228,0.0499
Recall,0.9278,0.9037,0.0241,0.0144
ROC-AUC,0.9638,0.9299,0.0339,0.0248
