Metric,Train Mean,Validation Mean,Gap,Std Dev
Accuracy,0.9028,0.8554,0.0474,0.027
Precision,0.9009,0.8664,0.0346,0.052
Recall,0.9259,0.879,0.0469,0.0198
ROC-AUC,0.9589,0.9311,0.0278,0.0182
